quote,cited
Two Poset Polytopes.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Two Poset Polytopes.,"One-Tape, Off-Line Turing Machine Computations"
Two Poset Polytopes.,Markov Chain Model for Events Following Induced Abortion.
Two Poset Polytopes.,User-Like Executives.
Two-dimensional dot codes for product identification.,A Theory of Restricted Quantification I.
Two-dimensional dot codes for product identification.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Two-dimensional dot codes for product identification.,Automatic analysis of electronic digital circuits using list processing.
Two-dimensional dot codes for product identification.,Topologic Proofs of Some Combinatorial Theorems.
Two-dimensional dot codes for product identification.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,Topologic Proofs of Some Combinatorial Theorems.
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,User-Like Executives.
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,Markov Chain Model for Events Following Induced Abortion.
Multichannel bandwidth allocation in a broadband packet switch.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Multichannel bandwidth allocation in a broadband packet switch.,Automatic analysis of electronic digital circuits using list processing.
Multichannel bandwidth allocation in a broadband packet switch.,User-Like Executives.
Multichannel bandwidth allocation in a broadband packet switch.,A library network model.
Multichannel bandwidth allocation in a broadband packet switch.,IO and OI. II.
Cerebrospinal fluid control system.,Automatic analysis of electronic digital circuits using list processing.
Cerebrospinal fluid control system.,Syntax and Semantics: A Categorical View
Cerebrospinal fluid control system.,Topologic Proofs of Some Combinatorial Theorems.
Cerebrospinal fluid control system.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Cerebrospinal fluid control system.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,User-Like Executives.
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,Markov Chain Model for Events Following Induced Abortion.
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,A library network model.
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
Maximum Matchings in General Graphs Through Randomization.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Maximum Matchings in General Graphs Through Randomization.,A library network model.
Maximum Matchings in General Graphs Through Randomization.,IO and OI. II.
Maximum Matchings in General Graphs Through Randomization.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,Automatic analysis of electronic digital circuits using list processing.
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,User-Like Executives.
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,The significance of microprogramming.
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,Issues in International Public Data Networking.
The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Asymptotically optimal quantizers for detection of I.I.D. data.,A Theory of Restricted Quantification I.
Asymptotically optimal quantizers for detection of I.I.D. data.,Automatic analysis of electronic digital circuits using list processing.
Asymptotically optimal quantizers for detection of I.I.D. data.,Algorithm 300: Coulomb wave functions.
Asymptotically optimal quantizers for detection of I.I.D. data.,The significance of microprogramming.
Asymptotically optimal quantizers for detection of I.I.D. data.,Algorithms for Shape Analysis of Contours and Waveforms.
Calculating the Maximum Execution Time of Real-Time Programs.,Syntax and Semantics: A Categorical View
