volume,article
15,Enhanced IPCGAN-Alexnet model for new face image generating on age target.
41,A workflow management system to feed digital libraries: proposal and case study.
70,Nonrigid medical image registration with locally linear reconstruction.
2,Weblogging: A study of social computing and its impact on organizations.
70,Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.
14,Low-latency service function chain migration in edge-core networks based on open Jackson networks.
77,Szeged index of TUC
30,An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.
92,Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.
84,Topic-based label distribution learning to exploit label ambiguity for scene classification.
15,"One-Tape, Off-Line Turing Machine Computations"
83,Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.
82,Professional networking with emailing groups: A case of Pakistan Library Automation Group.
68,Singular value decomposition of time-varying matrices.
96,eHR Cloud Transformation: Implementation Approach and Success Factors.
91,The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.
7,Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.
61,PRALINE
51,Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.
87,Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.
43,An interval statistical procedure for use in validation of simulation models.
3,Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.
92,INDIGO: Better Geomagnetic Observatories Where We Need Them.
50,Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.
91,Survey of security services on group communications.
27,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.
38,Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.
53,SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).
48,Spectral Embedded Deep Clustering.
1,Faster Similarity Search for Multimedia Data Via Query Transformations.
18,Improving the prediction performance of customer behavior through multiple imputation.
73,Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.
