article,final_decision
#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.,True
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,True
3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.,True
3D flow field estimation and assessment for live cell fluorescence microscopy.,True
"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",True
A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,True
A CCD-ADI method for unsteady convection-diffusion equations.,True
A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.,True
A Cognitive Reformation.,True
"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification.",True
A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.,True
A Design Method of bursting Using Two-Parameter bifurcation Diagrams in Fitzhugh-nagumo Model.,True
A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,True
A Formal Approach to Incremental Converter Synthesis for System-on-Chip Design.,True
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,True
A Generalized Geodesic Distance-Based Approach for Analysis of SAR Observations Across Polarimetric Modes.,True
A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.,True
A Global Linear and Local Quadratic Noninterior Continuation Method for Nonlinear Complementarity Problems Based on Chen-Mangasarian Smoothing Functions.,True
A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.,True
A High-Efficiency Low-Voltage CMOS Rectifier for Harvesting Energy in Implantable Devices.,True
A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.,True
A Hybrid Delay Design-for-Testability for Nonseparable RTL Controller-Data Path Circuits.,True
A Lattice-Partition Framework of Downlink Non-Orthogonal Multiple Access Without SIC.,True
A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.,True
A Minimum Arclength Method for Removing Spikes in Empirical Mode Decomposition.,True
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,True
A Novel 3D Indoor Localization Scheme Using Virtual Access Point.,True
A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.,True
A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.,True
A Novel Emulation Model of the Cardiac Conduction System.,True
A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,True
A Novel Process Network Model for Interacting Context-Aware Web Services.,True
A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.,True
A Predictive Control-Based Approach to Networked Hammerstein Systems: Design and Stability Analysis.,True
A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.,True
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,True
A Residual Analysis-Based Improved Particle Filter in Mobile Localization for Wireless Sensor Networks.,True
A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.,True
A Semantic Approach to Virtual World Standards.,True
A Semantic web approach to handling soft constraints in virtual organisations.,True
A Simulation-Based Approach to Decision Making with Partial Information.,True
A Smart Work Performance Measurement System for Police Officers.,True
A Special Section on Cognitive Computing for Internet of Health Informatics Things.,True
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",True
A Stochastic Joint Replenishment Problem with Dissimilar Items.,True
A Study of Chaotic Maps Producing Symmetric Distributions in the Fish School Search Optimization Algorithm with Exponential Step Decay.,True
